k,sexo,chave,l,m,s
1000061,1,61,1.0,110.2647,0.04164
1000062,1,62,1.0,110.8006,0.04172
1000063,1,63,1.0,111.3338,0.0418
1000064,1,64,1.0,111.8636,0.04187
1000065,1,65,1.0,112.3895,0.04195
1000066,1,66,1.0,112.911,0.04203
1000067,1,67,1.0,113.428,0.04211
1000068,1,68,1.0,113.941,0.04218
1000069,1,69,1.0,114.45,0.04226
1000070,1,70,1.0,114.9547,0.04234
1000071,1,71,1.0,115.4549,0.04241
1000072,1,72,1.0,115.9509,0.04249
1000073,1,73,1.0,116.4432,0.04257
1000074,1,74,1.0,116.9325,0.04264
1000075,1,75,1.0,117.4196,0.04272
1000076,1,76,1.0,117.9046,0.0428
1000077,1,77,1.0,118.388,0.04287
1000078,1,78,1.0,118.87,0.04295
1000079,1,79,1.0,119.3508,0.04303
1000080,1,80,1.0,119.8303,0.04311
1000081,1,81,1.0,120.3085,0.04318
1000082,1,82,1.0,120.7853,0.04326
1000083,1,83,1.0,121.2604,0.04334
1000084,1,84,1.0,121.7338,0.04342
1000085,1,85,1.0,122.2053,0.0435
1000086,1,86,1.0,122.675,0.04358
1000087,1,87,1.0,123.1429,0.04366
1000088,1,88,1.0,123.6092,0.04374
1000089,1,89,1.0,124.0736,0.04382
1000090,1,90,1.0,124.5361,0.0439
1000091,1,91,1.0,124.9964,0.04398
1000092,1,92,1.0,125.4545,0.04406
1000093,1,93,1.0,125.9104,0.04414
1000094,1,94,1.0,126.364,0.04422
1000095,1,95,1.0,126.8156,0.0443
1000096,1,96,1.0,127.2651,0.04438
1000097,1,97,1.0,127.7129,0.04446
1000098,1,98,1.0,128.159,0.04454
1000099,1,99,1.0,128.6034,0.04462
1000100,1,100,1.0,129.0466,0.0447
1000101,1,101,1.0,129.4887,0.04478
1000102,1,102,1.0,129.93,0.04487
1000103,1,103,1.0,130.3705,0.04495
1000104,1,104,1.0,130.8103,0.04503
1000105,1,105,1.0,131.2495,0.04511
1000106,1,106,1.0,131.6884,0.04519
1000107,1,107,1.0,132.1269,0.04527
1000108,1,108,1.0,132.5652,0.04535
1000109,1,109,1.0,133.0031,0.04543
1000110,1,110,1.0,133.4404,0.04551
1000111,1,111,1.0,133.877,0.04559
1000112,1,112,1.0,134.313,0.04566
1000113,1,113,1.0,134.7483,0.04574
1000114,1,114,1.0,135.1829,0.04582
1000115,1,115,1.0,135.6168,0.04589
1000116,1,116,1.0,136.0501,0.04597
1000117,1,117,1.0,136.4829,0.04604
1000118,1,118,1.0,136.9153,0.04612
1000119,1,119,1.0,137.3474,0.04619
1000120,1,120,1.0,137.7795,0.04626
1000121,1,121,1.0,138.2119,0.04633
1000122,1,122,1.0,138.6452,0.0464
1000123,1,123,1.0,139.0797,0.04647
1000124,1,124,1.0,139.5158,0.04654
1000125,1,125,1.0,139.954,0.04661
1000126,1,126,1.0,140.3948,0.04667
1000127,1,127,1.0,140.8387,0.04674
1000128,1,128,1.0,141.2859,0.0468
1000129,1,129,1.0,141.7368,0.04686
1000130,1,130,1.0,142.1916,0.04692
1000131,1,131,1.0,142.6501,0.04698
1000132,1,132,1.0,143.1126,0.04703
1000133,1,133,1.0,143.5795,0.04709
1000134,1,134,1.0,144.0511,0.04714
1000135,1,135,1.0,144.5276,0.04719
1000136,1,136,1.0,145.0093,0.04723
1000137,1,137,1.0,145.4964,0.04728
1000138,1,138,1.0,145.9891,0.04732
1000139,1,139,1.0,146.4878,0.04736
1000140,1,140,1.0,146.9927,0.0474
1000141,1,141,1.0,147.5041,0.04744
1000142,1,142,1.0,148.0224,0.04747
1000143,1,143,1.0,148.5478,0.0475
1000144,1,144,1.0,149.0807,0.04753
1000145,1,145,1.0,149.6212,0.04755
1000146,1,146,1.0,150.1694,0.04758
1000147,1,147,1.0,150.7256,0.04759
1000148,1,148,1.0,151.2899,0.04761
1000149,1,149,1.0,151.8623,0.04762
1000150,1,150,1.0,152.4425,0.04763
1000151,1,151,1.0,153.0298,0.04763
1000152,1,152,1.0,153.6234,0.04764
1000153,1,153,1.0,154.2223,0.04763
1000154,1,154,1.0,154.8258,0.04763
1000155,1,155,1.0,155.4329,0.04762
1000156,1,156,1.0,156.0426,0.0476
1000157,1,157,1.0,156.6539,0.04758
1000158,1,158,1.0,157.266,0.04756
1000159,1,159,1.0,157.8775,0.04754
1000160,1,160,1.0,158.4871,0.04751
1000161,1,161,1.0,159.0937,0.04747
1000162,1,162,1.0,159.6962,0.04744
1000163,1,163,1.0,160.2939,0.0474
1000164,1,164,1.0,160.8861,0.04735
1000165,1,165,1.0,161.472,0.0473
1000166,1,166,1.0,162.0505,0.04725
1000167,1,167,1.0,162.6207,0.0472
1000168,1,168,1.0,163.1816,0.04714
1000169,1,169,1.0,163.7321,0.04707
1000170,1,170,1.0,164.2717,0.04701
1000171,1,171,1.0,164.7994,0.04694
1000172,1,172,1.0,165.3145,0.04687
1000173,1,173,1.0,165.8165,0.04679
1000174,1,174,1.0,166.305,0.04671
1000175,1,175,1.0,166.7799,0.04663
1000176,1,176,1.0,167.2415,0.04655
1000177,1,177,1.0,167.6899,0.04646
1000178,1,178,1.0,168.1255,0.04637
1000179,1,179,1.0,168.5482,0.04628
1000180,1,180,1.0,168.958,0.04619
1000181,1,181,1.0,169.3549,0.04609
1000182,1,182,1.0,169.7389,0.04599
1000183,1,183,1.0,170.1099,0.04589
1000184,1,184,1.0,170.468,0.04579
1000185,1,185,1.0,170.8136,0.04569
1000186,1,186,1.0,171.1468,0.04559
1000187,1,187,1.0,171.468,0.04548
